artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Jane,Lady,"Brain, Brain","0001 066, brain 1066","LP, Album, RE, LC ",18.0,Very Good Plus (VG+),Very Good (VG),230,
John Zorn,Madrigals (For Six Female Voices),Tzadik,TZ 8339,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,
"Josquin Des Prés, The Tallis Scholars, Peter Phillips (2)",L'Homme Armé Masses,Gimell,CDGIM 019,"CD, Album",6.0,Mint (M),Very Good Plus (VG+),85,classique
Kahil El'Zabar / Billy Bang,Spirits Entering,Delmark Records,DE-533,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,box6
Koçani Orkestar,A Gypsy Brass Band,"Long Distance, Fnac Music",592324,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,world
Kristoff K.Roll,Corazón Road,"SONARt, SONARt","IMSO 9303, IMSO-9303-CD",CD,9.0,Mint (M),Near Mint (NM or M-),85,box6
Last Exit,Köln,"ITM Records (2), ITM Records (2)","ITM 1446, CD ITM 1446","CD, Album",14.0,Mint (M),Mint (M),85,box4
Lili Boniche,Alger Alger,APC,A.P.C.008,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Lou Reed,Lou Reed Live - Take No Prisoners,RCA Victor,XL 03066,"2xLP, RP, Gat",25.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
Louis Sclavis,Chine ,IDA Records,IDA 012 CD,"CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,box4
Luna Parker,Félin Pour L'Autre,Barclay,835 803-1,"LP, Album",20.0,Very Good Plus (VG+),Very Good (VG),230,
Max Nagl Ensemble,Ramasuri,hatOLOGY,hatOLOGY 575,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,box6
Maya Homburger - Barry Guy,Tales Of Enchantment,Intakt Records,Intakt CD 202,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,box6
Michael Nyman - Ute Lemper,Songbook,Decca,425 227-2,"CD, Album",7.0,Mint (M),Very Good Plus (VG+),85,
"Miniature / Joey Baron, Tim Berne, Hank Roberts",Miniature,"JMT, JMT","834 423-2, CD 834 423-2","CD, Album",18.0,Mint (M),Very Good Plus (VG+),85,box4
Minimal Compact,One By One,Madrigal,Mad 1002,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Moody Blues,In Search Of The Lost Chord,Deram,291025,"LP, Album, RE, Gat",15.0,Very Good Plus (VG+),Very Good (VG),230,
Munir Bashir,Maqâmat,Inedit,W 260050,"CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,
The Nels Cline Singers,The Giant Pin,Cryptogramophone,CG120,"CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,box4
New Klezmer Trio,Melt Zonk Rewire,Tzadik,TZ 7103,"CD, Album",19.0,Mint (M),Very Good Plus (VG+),85,box4
Palinckxquartet,"If P, Then Q..... Mind Yours!",Vonk,Vonk 1,"CD, Album",14.0,Mint (M),Very Good Plus (VG+),85,box6
Paul Bley,Homage To Carla,Owl Records (4),827258 2,"CD, Album",20.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
"Paul Bley, Gary Peacock",Partners,Owl Records (4),OWL058CD,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,box4
"Peter Brötzmann, Maleem Mahmoud Ghania & Hamid Drake","The ""Wels"" Concert","Okka Disk, Okka Disk","OD12013, OD 12013",CD,20.0,Mint (M),Very Good Plus (VG+),85,box4
Priska Walss,Aurora,Schweiz. Tonkünstlerverein,stv/asm 014,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
Raymond Boni / Joe McPhee,Voices & Dreams,émouvance,émv 1016,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,box4
Reinette L'Oranaise,Mémoires,Blue Silver,50345-2 BS 332,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,box6
The Remote Viewers,The Minimum Programme Of Humanity,Leo Records,CD LR 342,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
Roland Kirk,The Inflated Tear,"Rhino Records (2), Atlantic",R2 75207,"CD, Album, RE, RM",14.0,Mint (M),Very Good Plus (VG+),85,box4
Rova Saxophone Quartet & The Nels Cline Singers,The Celestial Septet,New World Records,80708-2,"CD, Album",20.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
Yves Robert,Tout Court,Deux Z,ZZ 84103,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,box6
"Alexander von Schlippenbach, Axel Dörner | Rudi Mahall | Jan Roder | Uli Jenneßen",Monk's Casino (The Complete Works Of Thelonious Monk),Intakt Records,Intakt CD 100,"3xCD + Box, Album",40.0,Mint (M),Near Mint (NM or M-),485,
Alice Phoebe Lou,Orbit,Not On Label (Alice Phoebe Lou Self-released),OMN16159,"LP, Album",40.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Benjamin Biolay,Palermo Hollywood ,"Maison Barclay, Riviera (3)",477 862 3,"CD, Album + CD + Ltd, S/Edition",22.0,Mint (M),Near Mint (NM or M-),400,
The Brecker Brothers,Return Of The Brecker Brothers,"Verve Records, GRP","B0011225-02, GRD 9684","CD, Album, RE, RM, Dig",6.0,Mint (M),Near Mint (NM or M-),85,
Bruno Coulais,Stabat Mater,Naïve,V 5038,CD,12.0,Mint (M),Very Good Plus (VG+),85,
Captain Beefheart And The Magic Band,Safe As Milk,"Buddah Records, Music On Vinyl, RCA",MOVLP343,"LP, Album, RE, 180 + LP, 180",25.0,Very Good Plus (VG+),Near Mint (NM or M-),460,
Carlos Núñez,Alborada Do Brasil,"Sony Music, RCA Victor",88697583992,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Cesaria Evora,Miss Perfumado,Lusafrica,74321 11882 1,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Charles Mingus,Blues & Roots,Atlantic,8122-75360-2,"CD, Album, RE, RM, Dig",8.0,Mint (M),Near Mint (NM or M-),85,
Charles Mingus,Live At Montreux 1975,Eagle Eye Media,EREDV449,"DVD-V, PAL",12.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Creedence Clearwater Revival,Bayou Country,"Fantasy, Fantasy","FANT-8387, 8387","LP, Album, Ind",10.0,Good Plus (G+),Good Plus (G+),230,
Creedence Clearwater Revival,Willy and the Poor Boys,"Fantasy, UMG Recordings, Inc.","F-8397, 0888072118539","LP, Album, Ltd, Gre",25.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Deep Purple,Come Hell Or High Water,Sony BMG Music Entertainment,88697107479,"DVD-V, PAL, Reg",10.0,Mint (M),Near Mint (NM or M-),85,
Dick Tracy (2),Slim Bretzel,Les Disques Du Soleil Et De L'Acier,DSA 54502,"12""",15.0,Very Good Plus (VG+),Very Good (VG),230,
The Doors,Full Circle,"Rhino Vinyl, Elektra",R1 60833,"LP, Album, RE, RM, Gat",22.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
The Doors,The Doors,"Elektra, Rhino Vinyl",8122-79865-0,"LP, Album, RE, 180",24.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Dr. Dre / Mack 10,Keep Their Heads Ringin' / Take A Hit,"Priority Records, Virgin","PTYST 103, 7243 8 92893 6 7","12""",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Elvis Presley,A Date With Elvis,RCA,NL90360,"LP, Comp, RE",12.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Elvis Presley,Elvis Presley,RCA,NL 89046,"LP, Album, RE",12.0,Very Good (VG),Very Good (VG),230,
Elvis Presley,From Elvis In Memphis,RCA Victor,PL 84155,"LP, Album, RE",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Elvis Presley,His Hand In Mine,RCA International,NL 83935,"LP, Album, RE",15.0,Mint (M),Very Good Plus (VG+),230,
Eric Clapton,Eric Clapton,Polydor,531 819-2,"CD, Album, RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
"Erik Truffaz with Manu Codjia, Michel Benita, Philippe Garcia",Mantis,"Blue Note, EMI",724353510121,"CD, Album, Dig",7.0,Mint (M),Very Good Plus (VG+),85,
The Growlers (2),Not. Psych!,FatCat Records,12FAT090,"12"", MiniAlbum, Gre",60.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Hawaii Samurai,The Shape Of Surf To Come...,Productions Impossible Records,PILP 007,"LP, Ltd, Num, RE",14.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Henri Texier,Chance,Label Bleu,LBLC6738,"CD, Album",14.0,Near Mint (NM or M-),Not Graded,85,
Henri Texier,Dakota Mab (Live At Theater Gütersloh),Intuition Records,INTCHR 71317,"CD, Album",14.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Henri Texier,Respect,Label Bleu,LBLC 6612,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Henri Texier,Sand Woman,Label Bleu,LBLC6728,"CD, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Henri Texier Hope Quartet,At «L'Improviste»,"Label Bleu, Label Bleu","LBLC 6713, LBLC6713","CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,
Henri Texier Red Route Quartet,Love Songs Reflexions,Label Bleu,LBLC 6710,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
Henri Texier Sky Dancers 6,Sky Dancers,Label Bleu,LBLC6720,"CD, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Ibrahim Maalouf,10 Ans De Live !,Mi'ster Productions,IBM15,"CD, Album + DVD-V, PAL, 5.1",20.0,Near Mint (NM or M-),Near Mint (NM or M-),170,
Ibrahim Maalouf,Kalthoum,"Mi'ster Productions, Mi'ster Productions","IBM 10, 474 570-5","CD, Album, Box",8.0,Mint (M),Near Mint (NM or M-),85,
Ibrahim Maalouf,Red & Black Light,Mi'ster Productions,IBM11,"CD, Album",8.0,Very Good Plus (VG+),Near Mint (NM or M-),85,
Jane,Rock On Brain,Brain,0080.045,"2xLP, Comp",20.0,Very Good (VG),Good (G),460,
The Jimi Hendrix Experience,Are You Experienced,"Experience Hendrix, Legacy, Music On Vinyl","88697650661, MOVLP077","2xLP, Album, RE, RM, 180",30.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
The Jimi Hendrix Experience,"Electric Church (Atlanta Pop Festival July 4, 1970)","Experience Hendrix, Legacy",88875143339,"DVD-V, Copy Prot., NTSC",10.0,Mint (M),Near Mint (NM or M-),85,
The Jimi Hendrix Experience,Electric Ladyland,"Experience Hendrix, Legacy, Music On Vinyl","88697650671, MOVLP078","2xLP, Album, RE, RM, 180",22.0,Very Good (VG),Near Mint (NM or M-),460,
Katerine,Mes Mauvaises Fréquentations,"Rosebud, Rosebud, Rosebud","576 0952, 576 095 2, ROB 9640","4xCD + Box, Album",15.0,Very Good Plus (VG+),Very Good (VG),570,
Lee Perry & The Upsetters / Sly & The Revolutionaries,Reminah Dub,"Original Music, Original Music","OM CD 0011, OM.CD.11","CD, Album",15.0,Near Mint (NM or M-),Mint (M),85,
Lee Perry Feat. Mad Professor / Douggie Digital / Juggler,Super Ape Inna Jungle,Ariwa,ARICD112,"CD, Album",10.0,Near Mint (NM or M-),Mint (M),85,
Little Roy,Tafari Earth Uprising,Pressure Sounds,PS CD006,"CD, Comp",45.0,Mint (M),Near Mint (NM or M-),85,
Marie-Blanche Vergne,J'Ai L'Amour À Fleur De Peau,Columbia,ESRF 1855,"7"", EP",85.0,Very Good Plus (VG+),Very Good Plus (VG+),60,
Michel Colombier,Wings,A&M Records,393 503-2,"CD, Album, RE, Dig",40.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Miles Davis & Quincy Jones,Live At Montreux,Eagle Vision,EREDV969,"DVD-V, RE, PAL",10.0,Mint (M),Very Good Plus (VG+),85,
Nas,The Message,Columbia,COL 664038 6,"12""",25.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Netzwerk (2),The Pros And Cons Of Virtual Suicide,Shift Music,SFT 20037-2,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,
Niney The Observer Presents Observer Allstars,Turbo Charge,Heartbeat Records (2),HB 85,"LP, Comp",10.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Patrick Bruel,Alors Regarde...,RCA,PL 74248,"LP, Album",10.0,Very Good (VG),Very Good Plus (VG+),230,
Pharoahe Monch,W.A.R. (We Are Renegades),"Duck Down, W.A.R. Media",DDM CD 2165,"CD, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Pink Floyd,Pulse,"EMI United Kingdom, EMI United Kingdom","7243 8 32700 2 6, CDEMD 1078","2xCD, Album, Dig + Box",40.0,Mint (M),Very Good Plus (VG+),400,
Pink Floyd,Wish You Were Here,Harvest,1969181,"LP, Album",20.0,Very Good (VG),Very Good (VG),230,
POW!,Shift,"Castle Face, Castle Face","CASTLE-FACERECORDS106, CASTLE-FACE106","LP, Ltd, Pep",22.0,Near Mint (NM or M-),Mint (M),230,
Prince Far I & The Arabs,Crytuff Dub Encounter Chapter One,Pressure Sounds,PSCD 13,"CD, Album, RE",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Queen,Innuendo,"Parlophone, Parlophone","CDP 795887-0, CDP 79 5887 2","CD, Album, Ltd",20.0,Mint (M),Near Mint (NM or M-),85,
Rail Band,Mansa,Indigo (12),LBLC 2520,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,
"Romano, Sclavis, Texier, Guy Le Querrec",African Flashback,Label Bleu,LBLC 86679,"CD, Ltd, Dig",22.0,Mint (M),Near Mint (NM or M-),85,
Saadet Türköz,Marmara Sea,Intakt Records,Intakt CD 061,"CD, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),85,"box7
"
Sting,...Nada Como El Sol (Selecciones Especiales En Espanol Y Portugues),A&M Records,393 295-2,"CD, MiniAlbum, RE",8.0,Mint (M),Near Mint (NM or M-),85,
Stochelo Rosenberg / Romane,Gypsy Guitar Masters,Iris Music,3001959,"CD, Album + DVD",12.0,Very Good Plus (VG+),Near Mint (NM or M-),170,
Superchunk,Here's Where The Strings Come In,City Slang,8410162 6,"CD, Album",20.0,Very Good Plus (VG+),Near Mint (NM or M-),85,
The Supremes,My World Is Empty Without You,Hard Food Records,H.F.R 02,"7"", Unofficial",10.0,Very Good (VG),Generic,60,
Suzanne Vega,Luka ,A&M Records,390 194-1,"12"", Maxi",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Various,If It's Tuesday ... Sprouts,Fontana,6448103,"LP, Comp",15.0,Very Good Plus (VG+),Very Good (VG),230,
حمزة شكور Et Ensemble Al-Kindî,Syrie / Musique Des Derviches Tourneurs De Damas,Auvidis Ethnic,B 6813,"CD, Album",20.0,Mint (M),Near Mint (NM or M-),85,
24-7 Spyz,Gumbo Millennium,In-Effect,467120 1,"LP, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Al Di Meola,Electric Rendezvous,CBS,CDCBS 32674,"CD, Album, RE",7.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Al Di Meola,Splendido Hotel,CBS,467090 2,"CD, Album, RE, RM",5.0,Very Good Plus (VG+),Very Good (VG),85,
Aldo Romano,To Be Ornette To Be,"Owl Records (4), Owl Records (4)","OWL057CD, 3800572","CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Antonio Faraò / Miroslav Vitous / Daniel Humair,Takes On Pasolini,C.A.M. Jazz,CAMJ 7779-2,"CD, Album",10.0,Near Mint (NM or M-),Good Plus (G+),85,
The Art Of Noise,Moments In Love,ZTT,WEEPS1,"12"", Single, RE, Die",5.0,Very Good (VG),Generic,230,
Asaf Avidan,Different Pulses ,Telmavar Records,374269-0,"LP, Album",18.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
B.B. King,Three O'Clock Blues,Wagram Music,none,"LP, Comp, Mono, RE, RM, 180",14.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Bee Gees / Mariah Carey,Too Bee Or Not Gee Bee / Mariah Was Here,Black Wax,BW2,"12"", Unofficial",10.0,Very Good Plus (VG+),Generic,230,
Bérurier Noir,"""Abracadaboum!""",Bondage Records,BR 008,"LP, Album",18.0,Very Good (VG),Very Good Plus (VG+),230,
Billy Nomates,Billy Nomates,Invada,INV240LP,"LP, Album, Ltd, Yel",28.0,Mint (M),Mint (M),230,
Billy Nomates,Billy Nomates,Invada,INV240LP,"LP, Album, Ltd, Yel",28.0,Mint (M),Mint (M),230,
Billy Nomates,Emergency Telephone,Invada,INV255EP,"12"", EP, Ltd, Blu",22.0,Mint (M),Mint (M),230,
Billy Nomates,Emergency Telephone,Invada,INV255EP,"12"", EP, Ltd, Blu",22.0,Mint (M),Mint (M),230,
Black Box / Gwen Guthrie,Striked Up (Remix) / Pay The Rent Boy,Black Wax,BW3,"12"", Single, Unofficial",5.0,Near Mint (NM or M-),Generic,230,
The Brecker Brothers,Collection / Volume Two,"BMG, Novus, RCA",ND83076,"CD, Comp, RM, RP",7.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
The Brecker Brothers,Heavy Metal Be-Bop,"Arista, BMG France",74321192572,"CD, Album, RE",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Brigitte Bardot,Brigitte Bardot,PolyGram,830 296-1,"LP, Comp",18.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Brigitte Bardot,La Madrague,Wagram Music,3340226,"LP, Comp, RM, 180",14.0,Mint (M),Mint (M),230,
Camouflage,Voices & Images,Metronome,835 437-1,"LP, Album, Ltd",15.0,Very Good (VG),Very Good (VG),230,
Cardiacs,Radio 1 Sessions / The Evening Show,"Strange Fruit, Nighttracks",SFNT 013,"12""",45.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Charles De Goal,Double Face,New Rose Records,ROSE 96,"2xLP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
Christian Death,The Scriptures,"Normal, Normal","NORMAL 65, NORMAL 66","LP, Album, Ltd, M/Print, Gat + 7"", Single",20.0,Near Mint (NM or M-),Near Mint (NM or M-),290,
The Clash / Big Audio Dynamite II,Should I Stay Or Should I Go / Rush,"Columbia, Columbia","656667-7, 656667 7","7"", Single, Sma",8.0,Very Good Plus (VG+),Good Plus (G+),60,
David Bowie,Let's Dance,"EMI America, EMI America","2C 070-400165, 2C 070-400.165","LP, Album",14.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
David Bowie Music By Giorgio Moroder,Cat People (Putting Out Fire) (Long Version) (From The Original Soundtrack),MCA Records,600536,"12"", Sup",6.0,Very Good Plus (VG+),Very Good (VG),230,
Depeche Mode,The Best Of (Volume 1),"Mute, Mute","lcdmutel15, 0094637507421","CD, Comp, RM + DVD-V, Comp, PAL",12.0,Very Good Plus (VG+),Very Good (VG),170,
Devo,"Now It Can Be Told, Devo At The Palace 12/9/88",Enigma Records (3),ENVLP 532,"2xLP, Album",30.0,Near Mint (NM or M-),Very Good Plus (VG+),460,
E.S.T.,E.S.T. Live '95,ACT (4),ACT 9295-2,"CD, Album, RE, Dig",12.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
East India Youth,Culture Of Volume,XL Recordings,XLLP674,"2xLP, Album",8.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Gérard Manset,Toutes Choses,EMI France,7955242,"2xCD, Comp, RE + Box",15.0,Near Mint (NM or M-),Very Good Plus (VG+),400,
Ghostface Killah,The Lost Tapes,"Holy Toledo Productions, Cream Records Unlimited",DMSP38LP,"LP, Album",24.0,Mint (M),Mint (M),230,
"Girolamo Frescobaldi, Concerto Italiano, Rinaldo Alessandrini",Arie Musicali ,Opus 111,OPS 30-105,CD,12.0,Near Mint (NM or M-),Very Good (VG),85,
Godflesh,Streetcleaner,Earache,MOSH 15CD,"CD, Album, RE",12.0,Near Mint (NM or M-),Mint (M),85,
"Herbert von Karajan, Berliner Philharmoniker",Rossini / Suppé: Overtures,Deutsche Grammophon,415377-2,"CD, Comp",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Howlin' Wolf,Rockin' Chair,WaxTime In Color,950677,"LP, Album, Ltd, RE, Pur",18.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Ian Dury / The Seven Seas Players,Twelve Fun Inches !,Polydor,2812078,"12""",20.0,Very Good Plus (VG+),Very Good (VG),230,
Idles,Brutalism,Partisan Records,PTKF2155-1,"LP, Album, RE, RM",24.0,Mint (M),Mint (M),230,
Ivinho,Ao Vivo,Nonesuch,BR 22.010,LP,20.0,Near Mint (NM or M-),Very Good (VG),230,
Jaco Pastorius,"Live In New York City, Vol. 2: Trio","Big World Music, Big World Music","BW1002, 1002","CD, Album",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,HOME
Jane Birkin,Baby Alone In Babylone,Philips,814 524-1,"LP, Album, PG ",6.0,Very Good (VG),Good Plus (G+),230,
John Littlejohn,Dream,MCM Blues Records,900.300,"LP, Album",30.0,Very Good Plus (VG+),Very Good (VG),230,
Johnny Winter with Calvin Johnson (4),Raw To The Bone,Sky Ranch Records,SR 652334,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
The KLF / Jive Bunny And The Mastermixers,Mu Mu Mix / That's What I Made,Black Wax,MK9,"12"", Unofficial",7.0,Near Mint (NM or M-),Generic,230,
Les Double Six,Rencontrent Quincy Jones,"Open (3), Open (3)","OP 18, OP. 18","LP, Album, RE, Gat",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Liima (2),ii,4AD,CAD 3611,"LP, Album, Neo",12.0,Mint (M),Mint (M),230,
M (2),Pop Muzik (The 1989 Re-Mix),Phonogram,874 619-1,"12"", Single",6.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Manu Chao,Radio Bemba Sound System,Because Music,BEC5772389,"CD, Album, RE, Dig",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Marilyn Manson,Lest We Forget - The Best Of,Interscope Records,602498638804,"CD + DVD-V, PAL + Comp, Dlx",12.0,Near Mint (NM or M-),Very Good Plus (VG+),400,
Michael Brecker,Nearness Of You (The Ballad Book),Verve Records,549 705-2,"CD, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Michael Brecker,Pilgrimage,EmArcy,602517263512,"CD, Album",7.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Michael Brecker Quindectet,Wide Angles,Verve Records,44007614228,"CD, Album",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Moby,Disco Lies,"Mute, Mute","12MUTE407, 5099952193316","12"", Single",35.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Muddy Waters & Howlin' Wolf,Muddy & The Wolf,Chess,CH-8200,"LP, Comp, Eur",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Prefab Sprout,Jordan: The Comeback,"CBS, Kitchenware Records",467161 1,"LP, Album",17.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Public Image Limited,This Is Not A Love Song,"Virgin, Virgin","600 997, 600997-213","12"", Single, RE, Whi",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Serge Gainsbourg & Jane Birkin,Jane Birkin - Serge Gainsbourg,"Mercury, Universal Music France",536 937-0,"LP, Album, RE",18.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Siouxsie & The Banshees,Tinderbox,"Polydor, Wonderland (3)",829 145-2,"CD, Album, RP",10.0,Very Good (VG),Near Mint (NM or M-),85,
Sixun,"Live 2009, Live In Marciac",Futur Acoustic,none,"CD, Album + DVD-V",32.0,Near Mint (NM or M-),Very Good Plus (VG+),170,
The Sonics,Sinderella,"Line Records, Line Records, BOMP!, BOMP!","LLP 5052 AP, 6.24247 AP","LP, Album",15.0,Very Good Plus (VG+),Very Good (VG),230,
The Southern Death Cult,Southern Death Cult,Beggars Banquet,BEGA 46,"LP, Comp",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
These Arms Are Snakes,Tail Swallower And Dove,Suicide Squeeze,S-078,"CD, Album, Dig",7.0,Mint (M),Near Mint (NM or M-),85,
The Tony Williams Lifetime,Emergency!,Verve Records,539 117-2,"CD, Album, Comp, RE, RM",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,"HOME
"
Vanessa Paradis,Variations Sur Le Même T'Aime,Polydor,843 447-1,"LP, Album, gat",10.0,Very Good (VG),Very Good Plus (VG+),230,
Various,Broadside Ballads Vol. 6: Broadside Reunion,"Folkways Records, Broadside Records","FR 5315, BR 315","LP, Album, Comp, Blu",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Various,Eurythmix II,Black Wax,MK6,"12"", Unofficial",8.0,Very Good Plus (VG+),Very Good (VG),230,
Various,Festival International Du Film Cannes 1979,Not On Label,340.080,"LP, Comp",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
"Wolfgang Amadeus Mozart / Pilar Lorengar • Cristina Deutekom • Stuart Burrows • Dietrich Fischer-Dieskau • Hermann Prey • Martti Talvela / Wiener Staatsopernchor • Wiener Philharmoniker, Georg Solti",Die Zauberflöte = The Magic Flute = La Flûte Enchantée,Decca,414 568-2,"3xCD, Album, RE, RM + Box, Sli",10.0,Mint (M),Very Good Plus (VG+),485,
XTC,The Disappointed,"Virgin, Virgin","VSA 1404, 615290","10""",6.0,Very Good Plus (VG+),Very Good Plus (VG+),135,
Alan Vega,Mutator,Sacred Bones Records,SBR271,"LP, Album",25.0,Mint (M),Mint (M),230,
Astrud Gilberto,I Haven't Got Anything Better To Do,Verve Records,2317103,"LP, Album, RE",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Banteay Ampil Band,សេរីភាព - Cambodian Liberation Songs ,"Akuphone, Akuphone","AKULP1004, KHMER 001","LP, Album, RE",18.0,Mint (M),Mint (M),230,
Byron Lee And The Dragonaires,The Sounds Of Jamaica,Dynamite! (2),DNM14010,"LP, Album",10.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Candela (2),Salsa,Portobello,PB 7102,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Cesaria Evora,Cabo Verde,"Lusafrica, RCA, Sony Music, Legacy",19075853851,"2xLP, Album, RE",27.0,Mint (M),Mint (M),460,
Cesaria Evora,Cesaria,"Lusafrica, Sony Music, Legacy, RCA",19075853841,"2xLP, Album, RE",25.0,Mint (M),Mint (M),460,
Chagrin D'Amour,Chagrin D'Amour,Barclay,200422,"LP, Album",10.0,Very Good Plus (VG+),Good Plus (G+),230,
Chiemi Eri,Chiemi Eri,Akuphone,AKULP1002,"LP, Comp",26.0,Mint (M),Mint (M),230,
David Bowie,Rare,RCA,PL 45406,"LP, Comp",10.0,Very Good (VG),Very Good Plus (VG+),230,
"Dindo Yogo, Papa Ringos",Prix Nobel De La Paix 85,Shouki Productions,SHOUKI 19765,"LP, Album",10.0,Very Good Plus (VG+),Very Good (VG),230,
The Doors,L.A. Woman,"Elektra, Elektra","ELK 42 090, 7599-60328-1","LP, Album, RE, 180",16.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Downpilot,This Is The Sound,Tapete Records,TR423,"LP, Album + CD, Album",14.0,Near Mint (NM or M-),Near Mint (NM or M-),315,
The Dwarfs of East Agouza,Rats Don't Eat Synthesizers,Akuphone,AKULP1008,"LP, Album, Ltd",24.0,Mint (M),Mint (M),230,
Fela Kuti,Teacher Don't Teach Me Nonsense,Barclay,831 325-1,"2xLP, Album, Gat",22.0,Very Good Plus (VG+),Near Mint (NM or M-),460,
Jean Fernand Daniel,"Le M'Zab (Ghardaïa, Oasis Du Désert)",Arion,ARN 33 384,"LP, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
